month,market,gross_revenue,net_revenue,gross_man,cumulative_net_revenue,cumulative_gross_revenue,cumulative_gross_man,avg_net_revenue,total_sold_quantity,avg_net_price_per_item,Type
2020-07-01,Australia,37801.0679,27587.855578789997,11251.7709,747596.51204064,964887.6783,287197.051,501.5973741598181,1832.0,15.05887313252729,Actual
2020-08-01,Australia,45354.4565,33622.37109928,13482.9286,781218.88313992,1010242.1348,300679.9796,611.3158381687272,2195.0,15.317708929056947,Actual
2020-09-01,Australia,61096.1571,48344.09591554,18151.381699999998,829562.97905546,1071338.2919,318831.3613,878.9835621007272,2615.0,18.487225971525813,Actual
2020-10-01,Australia,95561.5557,74601.75075477,28422.2377,904164.72981023,1166899.8476,347253.599,1130.3295568904543,4110.0,18.151277555905107,Actual
2020-11-01,Australia,100641.5361,79715.16019136,30040.3866,983879.89000159,1267541.3837,377293.9856,1449.3665489338182,4305.0,18.516878093231128,Actual
2020-12-01,Australia,102917.1771,77319.02864545,30693.4823,1061198.91864704,1370458.5608,407987.4679,1405.8005208263637,4424.0,17.47717645692812,Actual
2021-01-01,Australia,60642.0793,48733.09333224,18064.2465,1109932.01197928,1431100.6401,426051.7144,886.0562424043636,2636.0,18.487516438634295,Actual
2021-02-01,Australia,68333.8199,53541.01759757,20346.8473,1163473.02957685,1499434.46,446398.5617,811.2275393571211,2925.0,18.30462140087863,Actual
2021-03-01,Australia,54937.5103,43777.72503748,16408.696500000002,1207250.75461433,1554371.9703,462807.2582,795.9586370450909,2355.0,18.58926753183864,Actual
2021-04-01,Australia,64703.9259,48965.32056329,19290.4555,1256216.07517762,1619075.8962,482097.7137,890.2785556961818,2759.0,17.74748842453425,Actual
2021-05-01,Australia,59181.1259,46544.52124309,17620.8726,1302760.59642071,1678257.0221,499718.5863,846.2640226016364,2554.0,18.224166500818324,Actual
2021-06-01,Australia,77999.37269999999,60912.78193693,23273.7404,1363673.37835764,1756256.3948,522992.3267,922.9209384383333,3321.0,18.341698866886478,Actual
2021-07-01,Australia,63164.7872,50469.10418854,18844.0228,1414142.48254618,1819421.182,541836.3495,917.6200761552727,2702.0,18.678424940244263,Actual
2021-08-01,Australia,64576.9373,48850.04784797,19234.0568,1462992.53039415,1883998.1193,561070.4063,888.1826881449091,2764.0,17.673678671479742,Actual
2021-09-01,Australia,242516.0528,191554.12195019002,71684.5197,1654546.65234434,2126514.1721,632754.926,4256.758265559778,9638.0,19.874882958102305,Actual
2021-10-01,Australia,331289.0579,257844.34233147002,97910.2488,1912390.99467581,2457803.23,730665.1748,4774.895228360556,12980.0,19.864741319835904,Actual
2021-11-01,Australia,343884.56210000004,274784.7019876,101784.0921,2187175.69666341,2801687.7921,832449.2669,6106.326710835556,13397.0,20.510913039307308,Actual
2021-12-01,Australia,390510.8529,300791.63980359,115345.7455,2487967.336467,3192198.645,947795.0124,6684.258662302001,15190.0,19.801951270809088,Actual
2022-01-01,Australia,400621.05045021756,310750.4538062207,118214.39716468999,,,,,15363.398124821886,,Forecast
2022-02-01,Australia,439513.10926921526,339861.9937526868,129633.92549208415,,,,,16720.260670930293,,Forecast
2022-03-01,Australia,457260.06836441706,353108.33152763057,134788.6058888478,,,,,17055.681061657157,,Forecast
2022-04-01,Australia,501074.81803189986,385447.1096306473,147700.85143788185,,,,,18653.823626560657,,Forecast
2022-05-01,Australia,533855.0420238299,411131.6443743493,157294.69605892274,,,,,19807.766968609736,,Forecast
2022-06-01,Australia,582907.1829229357,447849.78171788965,171777.4049808644,,,,,21659.01422461802,,Forecast
2022-07-01,Australia,610072.0429401359,468484.27756448,179701.28028610864,,,,,22252.9807986632,,Forecast
2022-08-01,Australia,635069.9617924691,486396.40547924966,187020.96027336834,,,,,23234.108745442438,,Forecast
2022-09-01,Australia,712821.1136280817,547846.3654442935,209972.79043796996,,,,,26248.208730134524,,Forecast
2022-10-01,Australia,769132.6680108714,589365.1124880537,226604.7392845865,,,,,28669.55135128267,,Forecast
2022-11-01,Australia,803363.9701078043,617351.9720558776,236736.84142718703,,,,,29760.62694117616,,Forecast
2022-12-01,Australia,843093.6017674842,643806.3746564193,248342.22562550756,,,,,31061.35112323849,,Forecast
2019-09-01,Austria,930.7105,697.0641524399999,276.1012,697.0641524399999,930.7105,276.1012,15.153568531304346,46.0,15.153568531304346,Actual
2019-10-01,Austria,1290.4502,960.9353038099999,384.6573,1657.9994562499999,2221.1607,660.7585,19.2187060762,62.0,15.498956513064515,Actual
2019-11-01,Austria,1784.5916,1343.61944661,530.6507,3001.61890286,4005.7523,1191.4092,23.165852527758624,87.0,15.443901685172415,Actual
2019-12-01,Austria,1585.1978,1184.66314419,471.3457,4186.28204705,5590.9501,1662.7549000000001,22.352134796037735,77.0,15.385235638831167,Actual
2020-01-01,Austria,1067.3319,804.50738141,317.8376,4990.78942846,6658.282,1980.5925000000002,15.471295796346153,52.0,15.471295796346153,Actual
2020-02-01,Austria,1077.4985,795.25798963,321.3295,5786.04741809,7735.7805,2301.922,15.004867728867925,53.0,15.004867728867925,Actual
2020-04-01,Austria,256.0909,191.48953504,76.2014,5977.53695313,7991.8714,2378.1234,15.957461253333333,12.0,15.957461253333333,Actual
2020-05-01,Austria,244.8194,184.32452626,72.8292,6161.86147939,8236.6908,2450.9526,30.720754376666665,12.0,15.360377188333333,Actual
2020-06-01,Austria,370.6512,275.24558112,109.6124,6437.107060509999,8607.342,2560.565,30.582842346666666,18.0,15.291421173333333,Actual
2020-07-01,Austria,1121.0031999999999,838.92369499,335.1671,7276.0307555,9728.3452,2895.7321,20.461553536341462,55.0,15.253158090727272,Actual
2020-08-01,Austria,845.0375,629.88213702,251.9846,7905.912892519999,10573.3827,3147.7167,14.997193738571427,42.0,14.997193738571427,Actual
2020-09-01,Austria,9426.8154,7172.1553050699995,2811.7946,15078.068197589999,20000.198099999998,5959.5113,108.66901977378787,404.0,17.75285966601485,Actual
2020-10-01,Austria,12319.6103,9171.81835933,3672.712,24249.88655692,32319.808399999998,9632.2233,138.96694483833335,527.0,17.403829903851992,Actual
2020-11-01,Austria,15997.024,11933.38111394,4753.0928,36183.26767086,48316.8324,14385.3161,180.80880475666666,679.0,17.574935366627393,Actual
2020-12-01,Austria,16409.0014,12096.44914551,4888.7232,48279.71681637,64725.8338,19274.0393,183.27953250772725,703.0,17.206897788776672,Actual
2021-01-01,Austria,8839.8854,6737.37889482,2639.3811,55017.09571119,73565.71919999999,21913.420400000003,102.08149840636364,377.0,17.871031551246684,Actual
2021-02-01,Austria,8779.859699999999,6533.50700829,2624.9742,61550.60271948,82345.5789,24538.3946,98.99253042863637,375.0,17.42268535544,Actual
2021-03-01,Austria,9083.0398,6747.87361779,2710.874,68298.47633727,91428.61869999999,27249.2686,102.24050936045455,394.0,17.126582786269037,Actual
2021-04-01,Austria,9170.6159,6759.45210737,2732.4078,75057.92844464,100599.2346,29981.6764,102.41594102075757,391.0,17.28760129762148,Actual
2021-05-01,Austria,9835.0471,7441.01632935,2925.8937,82498.94477399,110434.28169999999,32907.570100000004,112.74267165681817,422.0,17.63274011694313,Actual
2021-06-01,Austria,7471.8711,5559.03552495,2226.6605,88057.98029894,117906.1528,35134.2306,84.22781098409091,326.0,17.052256211503067,Actual
2021-07-01,Austria,9259.4301,6951.01752337,2762.9818,95008.99782231,127165.5829,37897.212400000004,105.31844732378788,399.0,17.4210965497995,Actual
2021-08-01,Austria,8797.4522,6451.2999136,2624.439,101460.29773591,135963.0351,40521.6514,97.74696838787878,377.0,17.11220136233422,Actual
2021-09-01,Austria,28720.3311,20969.418842260002,8497.7772,122429.71657817,164683.3662,49019.4286,388.322571152963,1132.0,18.524221592102474,Actual
2021-10-01,Austria,43293.231,31850.26168143,12826.1246,154279.9782596,207976.5972,61845.5532,589.8196607672222,1700.0,18.7354480479,Actual
2021-11-01,Austria,55778.393000000004,40636.47654232,16497.5901,194916.45480192002,263754.9902,78343.1433,752.5273433762964,2184.0,18.606445303260074,Actual
2021-12-01,Austria,52800.3051,37810.12063858,15624.6527,232726.57544050002,316555.2953,93967.796,700.1874192329631,2068.0,18.28342390647002,Actual
2022-01-01,Austria,56501.736908098035,40424.52629597359,16503.644098115004,,,,,2159.8020626523053,,Forecast
2022-02-01,Austria,62261.13235291183,44012.72727284431,17964.059045490772,,,,,2334.5594756151,,Forecast
2022-03-01,Austria,67501.37234626763,47654.00261724702,19350.9670862027,,,,,2496.5252668661037,,Forecast
2022-04-01,Austria,73211.27352378113,51408.83525256367,20904.408399044074,,,,,2664.019224192593,,Forecast
2022-05-01,Austria,78970.51165505264,55294.851275309804,22244.838635472563,,,,,2833.579832832735,,Forecast
2022-06-01,Austria,83825.05263759062,58442.76083452119,23391.837387396732,,,,,2967.6502076591373,,Forecast
2022-07-01,Austria,89402.59858984534,62658.58772559124,24792.786630661423,,,,,3147.852639962266,,Forecast
2022-08-01,Austria,92975.27103089192,65070.17927357056,25910.53441120378,,,,,3286.968333109009,,Forecast
2022-09-01,Austria,103714.28296411854,72383.15162903562,29224.988318587766,,,,,3721.5154956707747,,Forecast
2022-10-01,Austria,111437.33083361847,76901.1153386774,31539.185770431824,,,,,4016.5334232976584,,Forecast
2022-11-01,Austria,118433.93223263709,82218.92648186046,33718.41274347524,,,,,4298.8205295556745,,Forecast
2022-12-01,Austria,121984.9529245734,84462.42600810868,34693.068013600816,,,,,4425.494059070967,,Forecast
2018-09-01,Bangladesh,2654.0423,2114.44434077,787.5441,2114.44434077,2654.0423,787.5441,70.48147802566668,154.0,13.730158056948053,Actual
2018-10-01,Bangladesh,4529.9969,3338.65408988,1341.1899,5453.0984306499995,7184.0392,2128.734,83.466352247,259.0,12.890556331583012,Actual
2018-11-01,Bangladesh,6893.6424,5436.20227124,2043.0422,10889.30070189,14077.6816,4171.7762,135.905056781,392.0,13.867862936836735,Actual
2018-12-01,Bangladesh,6255.3473,4900.46163184,1860.7624,15789.762333730001,20333.0289,6032.5386,122.511540796,361.0,13.574685960775625,Actual
2019-01-01,Bangladesh,2985.4415,2372.82357007,886.838,18162.5859038,23318.4704,6919.3766000000005,79.09411900233334,169.0,14.040376154260356,Actual
2019-02-01,Bangladesh,3736.9768,2767.74170392,1108.2573,20930.32760772,27055.4472,8027.6339,69.193542598,213.0,12.994092506666666,Actual
2019-03-01,Bangladesh,3404.0367,2656.33096854,1007.1835,23586.65857626,30459.4839,9034.8174,66.4082742135,191.0,13.907491981884817,Actual
2019-04-01,Bangladesh,3157.3849999999998,2469.13141336,938.5113,26055.78998962,33616.8689,9973.3287,61.728285334,179.0,13.794030242234637,Actual
2019-05-01,Bangladesh,2725.6854,2176.84678197,810.8169,28232.63677159,36342.5543,10784.1456,72.561559399,158.0,13.777511278291138,Actual
2019-06-01,Bangladesh,3912.548,2879.4636660300002,1160.1476,31112.10043762,40255.1023,11944.2932,71.98659165075,226.0,12.740989672699117,Actual
2019-07-01,Bangladesh,3797.22,3017.32742017,1124.6007,34129.427857790004,44052.3223,13068.893900000001,83.81465056027778,216.0,13.969108426712964,Actual
2019-08-01,Bangladesh,3578.7604,2834.59417592,1060.0792,36964.02203371,47631.0827,14128.9731,78.7387271088889,201.0,14.102458586666666,Actual
2019-09-01,Bangladesh,8196.9291,6740.6892477599995,2449.3356,43704.71128147,55828.0118,16578.3087,204.2633105381818,400.0,16.8517231194,Actual
2019-10-01,Bangladesh,14704.2829,11579.94235871,4379.5047,55284.65364018,70532.2947,20957.8134,263.18050815249995,716.0,16.173103852946927,Actual
2019-11-01,Bangladesh,19009.904,15495.76009831,5673.5221,70780.41373849,89542.1987,26631.3355,352.1763658706818,926.0,16.73408217960043,Actual
2019-12-01,Bangladesh,22319.7053,18619.81001304,6638.8763,89400.22375153001,111861.904,33270.2118,423.1775002963637,1090.0,17.082394507376147,Actual
2020-01-01,Bangladesh,8224.0247,6887.88657189,2455.9024,96288.11032342,120085.9287,35726.1142,208.72383551181818,402.0,17.134046198731344,Actual
2020-02-01,Bangladesh,12456.2161,9845.157396659999,3712.7884,106133.26772008,132542.1448,39438.9026,223.75357719681816,611.0,16.113187228576102,Actual
2020-03-01,Bangladesh,1767.4569,1438.45318903,526.1534,107571.72090911,134309.6017,39965.056,37.85403129026316,87.0,16.533944701494253,Actual
2020-04-01,Bangladesh,8262.0168,6670.28958683,2450.5558,114242.01049594,142571.6185,42415.6118,151.59749060977273,398.0,16.759521574949748,Actual
2020-05-01,Bangladesh,7109.6624,5799.63851613,2121.2984,120041.64901207,149681.2809,44536.9102,175.74662170090912,346.0,16.761961029277458,Actual
2020-06-01,Bangladesh,14798.943599999999,11828.51509871,4408.6289,131870.16411078,164480.2245,48945.5391,268.82988860704546,717.0,16.497231657894005,Actual
2020-07-01,Bangladesh,10699.4521,8671.11532742,3171.7421,140541.2794382,175179.6766,52117.2812,197.0708028959091,519.0,16.70735130524085,Actual
2020-08-01,Bangladesh,12169.4063,10178.04964693,3616.8753,150719.32908513,187349.0829,55734.1565,231.31931015749998,582.0,17.4880578125945,Actual
2020-09-01,Bangladesh,18366.0564,14254.29246808,5467.8786,164973.62155321,205715.1393,61202.0351,431.9482566084849,797.0,17.884934087929736,Actual
2020-10-01,Bangladesh,28589.3222,20917.201229219998,8539.3653,185890.82278243,234304.4615,69741.4004,475.3909370277272,1236.0,16.923301965388347,Actual
2020-11-01,Bangladesh,33859.4418,26739.813346159997,10113.9213,212630.63612859,268163.9033,79855.3217,607.7230305945454,1450.0,18.44125058355862,Actual
2020-12-01,Bangladesh,40432.4688,31548.172426179997,12036.9805,244178.80855477,308596.3721,91892.3022,717.0039187768181,1753.0,17.996675656691384,Actual
2021-01-01,Bangladesh,16553.2046,12918.62207378,4930.1784,257097.43062855,325149.5767,96822.4806,391.4733961751515,706.0,18.298331549263455,Actual
2021-02-01,Bangladesh,24227.2265,17759.96126927,7187.2644,274857.39189782,349376.8032,104009.745,403.63548339249996,1030.0,17.242680843951455,Actual
2021-03-01,Bangladesh,21627.231,17280.6141977,6456.46,292138.00609552,371004.0342,110466.205,392.7412317659091,929.0,18.60130699429494,Actual
2021-04-01,Bangladesh,22087.4569,17757.15614122,6574.774,309895.16223674,393091.4911,117040.979,403.5717304822727,953.0,18.63290256161595,Actual
2021-05-01,Bangladesh,13875.5991,10605.86771597,4156.3104,320501.02995270997,406967.0902,121197.2894,321.38993078696967,597.0,17.765272556063653,Actual
2021-06-01,Bangladesh,21220.4168,15591.533700549999,6337.9911,336092.56365326,428187.507,127535.2805,354.3530386488636,917.0,17.002763032224646,Actual
2021-07-01,Bangladesh,21184.5675,16961.174130839998,6308.1088,353053.7377841,449372.0745,133843.3893,385.48123024636357,906.0,18.720942749271522,Actual
2021-08-01,Bangladesh,21114.2627,16549.79245293,6297.6844,369603.53023703,470486.3372,140141.0737,376.13164665749997,919.0,18.008479274134928,Actual
2021-09-01,Bangladesh,59428.5242,49955.9633969,17558.7797,419559.49363393,529914.8614,157699.8534,1850.2208665518517,2328.0,21.458747163616838,Actual
2021-10-01,Bangladesh,114525.8067,87268.47397982,33824.0294,506827.96761374996,644440.6681,191523.8828,2424.1242772172222,4513.0,19.337131393711502,Actual
2021-11-01,Bangladesh,141754.1207,111705.10194434,41901.3906,618533.06955809,786194.7888,233425.2734,3102.919498453889,5554.0,20.112549863943105,Actual
2021-12-01,Bangladesh,134062.0263,104478.1261744,39610.1571,723011.1957324899,920256.8151,273035.4305,2902.1701715111108,5386.0,19.398092494318604,Actual
2022-01-01,Bangladesh,135738.03475665287,106898.50894081368,39732.814699784045,,,,,5322.914304065145,,Forecast
2022-02-01,Bangladesh,151834.3532021335,117797.9778163987,43981.23429261689,,,,,5877.71428481752,,Forecast
2022-03-01,Bangladesh,160777.67949070776,125364.25539201041,46624.36863523297,,,,,6114.896134399268,,Forecast
2022-04-01,Bangladesh,175214.14091400243,136846.5988879674,50655.5834995497,,,,,6585.819328706648,,Forecast
2022-05-01,Bangladesh,185430.52241512388,144685.72513166885,53225.799529324664,,,,,6855.885513389088,,Forecast
2022-06-01,Bangladesh,201723.91653667984,157151.27527548937,57328.87427788768,,,,,7419.428546867997,,Forecast
2022-07-01,Bangladesh,211735.16149540144,165860.58648973797,59660.18845451379,,,,,7729.895727983091,,Forecast
2022-08-01,Bangladesh,221054.7483697403,173089.38689378265,62610.11464219507,,,,,8095.6939717976975,,Forecast
2022-09-01,Bangladesh,240992.56283930977,188678.0305244376,68939.04162095237,,,,,8936.586164583032,,Forecast
2022-10-01,Bangladesh,263952.9442332724,203454.98900401522,76064.74235955034,,,,,9913.215854737295,,Forecast
2022-11-01,Bangladesh,279663.8875194817,218400.4784723674,80950.49303978923,,,,,10583.814351639328,,Forecast
2022-12-01,Bangladesh,290196.70398247166,225635.41278606758,83508.98747772555,,,,,10985.855943465749,,Forecast
2017-09-01,Brazil,1219.7959,877.88710923,361.4073,877.88710923,1219.7959,361.4073,109.73588865375,68.0,12.9101045475,Actual
2017-10-01,Brazil,1168.9552,947.32129408,345.0044,1825.20840331,2388.7511000000004,706.4117,118.41516176,64.0,14.80189522,Actual
2017-11-01,Brazil,3627.0436,2782.74278363,1077.8104,4607.951186939999,6015.7947,1784.2221,173.921423976875,205.0,13.57435504209756,Actual
2017-12-01,Brazil,2958.491,2306.1594512,874.8292,6914.11063814,8974.2857,2659.0513,144.1349657,164.0,14.061947873170732,Actual
2018-01-01,Brazil,1279.8652,921.11898444,379.62330000000003,7835.22962258,10254.1509,3038.6746000000003,115.139873055,71.0,12.97350682309859,Actual
2018-02-01,Brazil,1129.0896,915.01421184,335.6576,8750.24383442,11383.2405,3374.3322000000003,114.37677648,64.0,14.29709706,Actual
2018-03-01,Brazil,2394.4552,1824.3364997200001,710.4006,10574.58033414,13777.6957,4084.7328,114.02103123250001,135.0,13.51360370162963,Actual
2018-04-01,Brazil,1867.3858,1438.2400832800001,555.4129,12012.82041742,15645.0815,4640.1457,89.89000520500001,105.0,13.697524602666668,Actual
2018-05-01,Brazil,919.0441,661.43603877,274.3954,12674.25645619,16564.1256,4914.5411,82.67950484625,53.0,12.47992525981132,Actual
2018-06-01,Brazil,1004.2646,813.85603184,298.79200000000003,13488.11248803,17568.3902,5213.3331,101.73200398,56.0,14.533143425714286,Actual
2018-07-01,Brazil,1798.053,1373.54625591,534.45,14861.658743940001,19366.4432,5747.783100000001,85.846640994375,101.0,13.599467880297029,Actual
2018-08-01,Brazil,1869.232,1432.63837014,555.8428,16294.29711408,21235.6752,6303.6259,89.53989813375,103.0,13.909110389708738,Actual
2018-09-01,Brazil,1683.7984000000001,1305.28051968,497.5829,17599.57763376,22919.4736,6801.2088,130.528051968,95.0,13.739794944,Actual
2018-10-01,Brazil,2032.8858,1630.17112302,602.3761999999999,19229.74875678,24952.3594,7403.585,163.01711230200002,117.0,13.933086521538462,Actual
2018-11-01,Brazil,5687.454,4483.5330203700005,1677.0797,23713.28177715,30639.8134,9080.6647,224.17665101850002,322.0,13.924015591211182,Actual
2018-12-01,Brazil,5565.3584,4387.184322,1653.7308,28100.466099150002,36205.1718,10734.3955,219.3592161,324.0,13.540692351851852,Actual
2019-01-01,Brazil,1734.4207,1344.52292664,512.0794999999999,29444.98902579,37939.5925,11246.475,134.452292664,99.0,13.581039663030301,Actual
2019-02-01,Brazil,1581.787,1268.4349953,471.9513,30713.424021090002,39521.3795,11718.426300000001,126.84349953,90.0,14.093722170000001,Actual
2019-03-01,Brazil,3161.9652,2500.1670270600002,944.0956,33213.59104815,42683.3447,12662.5219,125.00835135300001,180.0,13.889816817000002,Actual
2019-04-01,Brazil,2796.6743,2196.84614994,830.4426,35410.43719809,45480.019,13492.9645,109.84230749700001,162.0,13.560778703333334,Actual
2019-05-01,Brazil,1725.8652,1337.89070304,516.2673,36748.327901130004,47205.8842,14009.2318,133.789070304,97.0,13.792687660206186,Actual
2019-06-01,Brazil,1500.931,1203.5965689000002,445.8187,37951.924470030004,48706.8152,14455.0505,120.35965689000002,87.0,13.834443320689658,Actual
2019-07-01,Brazil,2996.2278,2359.73885088,883.5055,40311.663320910004,51703.043,15338.556,131.09660282666667,169.0,13.962951780355029,Actual
2019-08-01,Brazil,2521.9331,1991.4471446700002,749.6851,42303.11046558,54224.9761,16088.2411,110.63595248166668,144.0,13.829494060208335,Actual
2019-09-01,Brazil,2910.2586,2215.8708980399997,867.9343,44518.98136362,57135.2347,16956.1754,201.44280891272726,139.0,15.941517252086328,Actual
2019-10-01,Brazil,2968.8912,2249.52886224,888.5314,46768.51022586,60104.1259,17844.7068,204.50262383999998,147.0,15.302917430204081,Actual
2019-11-01,Brazil,8573.6173,6514.3236965999995,2560.0692,53282.83392246,68677.7432,20404.776,296.10562257272727,409.0,15.927441800977993,Actual
2019-12-01,Brazil,8528.2717,6477.609322,2531.6076,59760.44324446,77206.0149,22936.3836,294.43678736363637,419.0,15.459688119331743,Actual
2020-01-01,Brazil,2742.9341,2088.4700237399998,817.2755,61848.9132682,79948.949,23753.6591,189.8609112490909,132.0,15.821742604090907,Actual
2020-02-01,Brazil,3668.2055,2779.39930735,1095.1163999999999,64628.31257555,83617.1545,24848.7755,252.67266430454546,178.0,15.6146028502809,Actual
2020-03-01,Brazil,1269.3505,964.02764676,379.1579,65592.34022231,84886.505,25227.933399999998,43.81943848909091,62.0,15.548833012258065,Actual
2020-04-01,Brazil,5661.5779,4302.83634558,1684.0139,69895.17656789,90548.0829,26911.9473,195.58347025363636,280.0,15.367272662785714,Actual
2020-05-01,Brazil,3739.9343,2847.5859760199996,1113.2539,72742.76254391,94288.0172,28025.2012,258.8714523654545,183.0,15.560579103934424,Actual
2020-06-01,Brazil,4900.0911,3712.79902647,1466.2035,76455.56157038,99188.10829999999,29491.4047,337.52718422454546,243.0,15.279008339382717,Actual
2020-07-01,Brazil,9654.5386,7332.90436722,2866.1686,83788.4659376,108842.64689999999,32357.5733,333.3138348736363,466.0,15.735846281587982,Actual
2020-08-01,Brazil,5186.3069,3938.17687969,1546.0037,87726.64281729,114028.9538,33903.577,179.0080399859091,250.0,15.752707518760001,Actual
2020-09-01,Brazil,991.8068,716.87795504,295.8611,88443.52077233,115020.7606,34199.4381,65.17072318545455,43.0,16.671580349767442,Actual
2020-10-01,Brazil,1945.722,1402.6709898,580.535,89846.19176213,116966.4826,34779.9731,127.51554452727272,82.0,17.10574377804878,Actual
2020-11-01,Brazil,5092.6478,3676.3562444,1520.1495,93522.54800653,122059.1304,36300.1226,167.10710201818182,218.0,16.86401946972477,Actual
2020-12-01,Brazil,5333.5217999999995,3849.6895501,1586.9696,97372.23755663,127392.6522,37887.0922,174.98588864090908,232.0,16.593489440086206,Actual
